product_id,ptype_id,batch_no,current_price,bbf_date
76,38,BATCH-5377129,87.48,2025-02-24
77,24,BATCH-4035651,40.38,2025-03-05
78,15,BATCH-6205971,22.08,2025-03-03
79,46,BATCH-3724094,44.46,2025-03-09
80,30,BATCH-3615897,57.19,2025-03-01
81,12,BATCH-7502516,32.24,2025-02-24
82,49,BATCH-5024578,92.08,2025-03-05
83,12,BATCH-3715129,51.54,2025-03-17
84,44,BATCH-6214664,39.48,2025-02-26
85,13,BATCH-2947729,15.37,2025-02-22
86,30,BATCH-9964051,70.94,2025-03-05
87,41,BATCH-7298924,78.64,2025-03-16
88,49,BATCH-7089571,54.73,2025-02-27
89,37,BATCH-5368303,36.51,2025-03-17
90,50,BATCH-0121365,29.03,2025-02-27
91,2,BATCH-6362287,9.85,2025-03-11
92,40,BATCH-5634963,74.76,2025-02-28
93,6,BATCH-1655170,51.89,2025-03-17
94,44,BATCH-0708243,38.99,2025-03-16
95,9,BATCH-1622829,17.9,2025-03-04
96,22,BATCH-7543477,14.44,2025-03-10
97,16,BATCH-6074170,34.69,2025-03-06
98,14,BATCH-5246656,5.78,2025-02-23
99,26,BATCH-6599527,84.81,2025-02-22
100,28,BATCH-8297265,67.92,2025-02-24
101,38,BATCH-1617338,25.67,2025-03-08
102,36,BATCH-8458521,70.27,2025-03-13
103,19,BATCH-0637470,75.59,2025-03-05
104,21,BATCH-8733585,9.26,2025-03-04
105,14,BATCH-9779165,24.88,2025-03-07
106,19,BATCH-5893114,81.38,2025-03-15
107,49,BATCH-6685765,84.41,2025-03-07
108,25,BATCH-6910569,12.54,2025-02-24
109,15,BATCH-2835460,22.37,2025-03-04
110,43,BATCH-2978739,17.25,2025-02-19
111,11,BATCH-7076369,69.48,2025-02-25
112,23,BATCH-2550438,21.28,2025-02-24
113,28,BATCH-6707067,91.08,2025-03-04
114,40,BATCH-4101871,18.03,2025-02-19
115,41,BATCH-8171911,83.46,2025-03-11
116,40,BATCH-4229535,43.78,2025-03-18
117,7,BATCH-2259485,27.59,2025-03-03
118,18,BATCH-7884162,75.35,2025-02-26
119,27,BATCH-9363058,79.46,2025-03-18
120,2,BATCH-6117263,43.94,2025-03-01
121,28,BATCH-6430014,65.05,2025-03-08
122,19,BATCH-6619295,54.1,2025-02-22
123,49,BATCH-2498803,59.21,2025-02-19
124,23,BATCH-5095950,95.98,2025-03-06
125,34,BATCH-8558227,53.67,2025-02-27
126,11,BATCH-5627630,41.48,2025-03-17
127,22,BATCH-7744008,91.42,2025-03-07
128,19,BATCH-8623651,81.53,2025-02-23
129,11,BATCH-0169856,77.05,2025-03-11
130,36,BATCH-6876694,47.79,2025-03-03
131,32,BATCH-6972713,71.96,2025-03-16
132,28,BATCH-9820958,45.4,2025-03-14
133,39,BATCH-7948186,56.49,2025-03-18
134,48,BATCH-5883925,32.66,2025-03-13
135,9,BATCH-9804747,21.56,2025-03-14
136,7,BATCH-4352341,82.58,2025-03-14
137,26,BATCH-7468653,34.45,2025-03-07
138,38,BATCH-0479792,20.77,2025-02-27
139,35,BATCH-7853866,69.81,2025-02-27
140,3,BATCH-0297847,55.87,2025-03-03
141,37,BATCH-0955278,71.5,2025-02-24
142,5,BATCH-3071393,23.77,2025-03-16
143,13,BATCH-9440283,10.06,2025-02-27
144,48,BATCH-2207146,61.79,2025-03-17
145,4,BATCH-8547810,79.96,2025-02-18
146,2,BATCH-2600224,47.77,2025-03-16
147,27,BATCH-9015671,44.8,2025-02-21
148,23,BATCH-8239066,56.98,2025-03-08
149,12,BATCH-6188056,91.63,2025-03-09
150,49,BATCH-0575987,78.76,2025-02-21
151,31,BATCH-5411620,17.81,2025-03-15
152,13,BATCH-1675556,24.71,2025-02-18
153,49,BATCH-6024815,41.06,2025-03-17
154,5,BATCH-4229574,40.65,2025-02-20
155,43,BATCH-8376235,8.79,2025-02-24
156,13,BATCH-2037595,50.75,2025-03-16
157,25,BATCH-5269158,68,2025-02-23
158,46,BATCH-1930735,21.9,2025-03-02
159,9,BATCH-5846475,53.54,2025-03-06
160,5,BATCH-7564576,61.43,2025-03-14
161,22,BATCH-4019949,66.34,2025-02-26
162,23,BATCH-1868558,61.29,2025-03-02
163,9,BATCH-6228028,79.63,2025-02-20
164,35,BATCH-1951692,38.81,2025-02-21
165,38,BATCH-0873538,28.13,2025-02-23
166,45,BATCH-4139508,69.82,2025-02-24
167,47,BATCH-9022377,15.52,2025-03-10
168,2,BATCH-8290091,92.15,2025-03-06
169,5,BATCH-8064027,26.43,2025-03-07
170,42,BATCH-2289612,11.75,2025-03-09
171,25,BATCH-8713865,64.87,2025-02-28
172,19,BATCH-8259116,75.65,2025-03-03
173,29,BATCH-8219709,81.19,2025-03-09
174,49,BATCH-2006111,43.66,2025-03-13
175,26,BATCH-8272667,62.02,2025-02-19
176,9,BATCH-7059942,16.77,2025-02-27
177,44,BATCH-7545234,95.56,2025-02-22
178,42,BATCH-6969817,26.07,2025-02-18
179,36,BATCH-5678723,89.01,2025-02-24
180,29,BATCH-9846938,11.58,2025-03-01
181,17,BATCH-7681787,5.05,2025-03-09
182,4,BATCH-1745402,90.63,2025-02-27
183,46,BATCH-8025744,55.44,2025-02-21
184,12,BATCH-9971165,77.96,2025-03-07
185,10,BATCH-2167577,49.15,2025-02-23
186,10,BATCH-1875051,13.89,2025-02-22
187,16,BATCH-8533256,43.58,2025-03-10
188,5,BATCH-7958449,72.51,2025-02-18
189,26,BATCH-7320127,25.94,2025-03-05
190,20,BATCH-2343633,29.8,2025-03-17
191,5,BATCH-7276329,13.8,2025-03-05
192,9,BATCH-7127999,83.04,2025-03-04
193,23,BATCH-5601327,89.1,2025-03-06
194,2,BATCH-5850615,56.17,2025-03-08
195,10,BATCH-9842028,64.15,2025-03-10
196,3,BATCH-6874269,44.39,2025-03-10
197,46,BATCH-3854102,42.38,2025-03-02
198,23,BATCH-3735614,97.2,2025-02-25
199,45,BATCH-7352718,11.78,2025-02-23
200,24,BATCH-9075824,34.24,2025-03-15
